,Date,Temperature,realValue,retrive,value2
0,1981-01-01,20.7,-0.002110167169087429,20.7,0.5668700818228086
1,1981-01-02,17.9,-2.8000000000000007,17.9,0.4419642857142857
2,1981-01-03,18.8,0.9000000000000021,18.8,0.6071428571428572
3,1981-01-04,14.6,-4.200000000000001,14.6,0.3794642857142857
4,1981-01-05,15.8,1.200000000000001,15.8,0.6205357142857143
5,1981-01-06,15.8,0.0,15.8,0.5669642857142857
6,1981-01-07,15.8,0.0,15.8,0.5669642857142857
7,1981-01-08,17.4,1.5999999999999979,17.4,0.638392857142857
8,1981-01-09,21.8,4.400000000000002,21.8,0.7633928571428572
9,1981-01-10,20.0,-1.8000000000000007,20.0,0.4866071428571428
10,1981-01-11,16.2,-3.8000000000000007,16.2,0.39732142857142855
11,1981-01-12,13.3,-2.8999999999999986,13.3,0.43750000000000006
12,1981-01-13,16.7,3.3999999999999986,16.7,0.7187499999999999
13,1981-01-14,21.5,4.800000000000001,21.5,0.78125
14,1981-01-15,25.0,3.5,25.0,0.7232142857142857
15,1981-01-16,20.7,-4.300000000000001,20.7,0.375
16,1981-01-17,20.6,-0.09999999999999787,20.6,0.5625000000000001
17,1981-01-18,24.8,4.199999999999999,24.8,0.7544642857142856
18,1981-01-19,17.7,-7.100000000000001,17.7,0.24999999999999994
19,1981-01-20,15.5,-2.1999999999999993,15.5,0.46875
20,1981-01-21,18.2,2.6999999999999993,18.2,0.6874999999999999
21,1981-01-22,12.1,-6.1,12.1,0.2946428571428572
22,1981-01-23,14.4,2.3000000000000007,14.4,0.6696428571428572
23,1981-01-24,16.0,1.5999999999999996,16.0,0.6383928571428571
24,1981-01-25,16.5,0.5,16.5,0.5892857142857143
25,1981-01-26,18.7,2.1999999999999993,18.7,0.6651785714285714
26,1981-01-27,19.4,0.6999999999999993,19.4,0.5982142857142857
27,1981-01-28,17.2,-2.1999999999999993,17.2,0.46875
28,1981-01-29,15.5,-1.6999999999999993,15.5,0.4910714285714286
29,1981-01-30,15.1,-0.40000000000000036,15.1,0.5491071428571428
30,1981-01-31,15.4,0.3000000000000007,15.4,0.5803571428571429
31,1981-02-01,15.3,-0.09999999999999964,15.3,0.5625
32,1981-02-02,18.8,3.5,18.8,0.7232142857142857
33,1981-02-03,21.9,3.099999999999998,21.9,0.7053571428571428
34,1981-02-04,19.9,-2.0,19.9,0.4776785714285714
